code_uberon,name,synonym
UBERON:0007635,nucleus of medulla oblongata,""
UBERON:0007637,hippocampus stratum lucidum,"stratum lucidum;stratum lucidum hippocampi;stratum lucidum hippocampus"
UBERON:0007639,hippocampus alveus,"alveus;alveus hippocampi;alveus of fornix;alveus of hippocampus;alveus of the hippocampus;CA2 alveus;neuraxis alveus"
UBERON:0007640,hippocampus stratum lacunosum moleculare,"lacunar-molecular layer of hippocampus;stratum hippocampi moleculare et substratum lacunosum;stratum lacunosum moleculare;stratum lacunosum-moleculare"
UBERON:0007641,trigeminal nuclear complex,"nuclei trigemini;trigeminal nuclei"
UBERON:0007642,ligamentum arteriosum,"arterial ligament;Botallo's duct;Botallo's ligament;Harvey's ligament;ligamentum arteriosum (ductus arteriosus)"
UBERON:0007643,node of ligamentum arteriosum,"Botallo's node;ligamentum arteriosum node;lymph node of ligamentum arteriosum;nodus ligamenti arteriosi"
UBERON:0007644,thoracic lymph node,"deep thoracic lymph node;lymph node of thorax"
UBERON:0007645,future meninx,"meninx primitiva;primary meninx;primitive meninx;primordial meninx"
UBERON:0007646,endomeninx,"future leptomeninges;future leptomeninx"
UBERON:0007647,ectomeninx,"future dura mater"
UBERON:0007650,esophagogastric junction,"cardioesophageal junction;esophageal sphincter;esophagogastric junction;gastroesophageal junction;GEJ;squamocolumnar junction between esophagus and stomach"
UBERON:0007651,anatomical junction,"anatomical junction;junction"
UBERON:0007652,esophageal sphincter,""
UBERON:0007653,capillary loop nephron,"developing capillary loop stage nephron;stage III nephron"
UBERON:0007654,maturing nephron,"stage IV nephron"
UBERON:0007656,lateral recess of fourth ventricle,"fourth ventricle lateral recess;lateral recess;lateral recess of the 4th ventricle;recessus lateralis (ventriculi quarti);recessus lateralis ventriculi quarti"
UBERON:0007657,anular ligament of radius,"annular ligament of radius;anular ligament;ligamentum anulare radii;orbicular ligament of radius"
UBERON:0007679,intersomitic vein,"intersegmental vein;ISV;segmental vein"
UBERON:0007681,facial neural crest,""
UBERON:0007683,lateral mesenchyme derived from mesoderm,""
UBERON:0007684,uriniferous tubule,""
UBERON:0007685,region of nephron tubule,"region of renal tubule;renal tubule region"
UBERON:0007686,obsolete Hatschek's pit/nephridium,""
UBERON:0007687,kidney field,"kidney anlage"
UBERON:0007688,anlage,"developmental field;field;future organ;organ field"
UBERON:0007689,thyroid diverticulum,"diverticulum thyroideum;saccus thyroideus"
UBERON:0007690,early pharyngeal endoderm,"early pharyngeal arch endoderm;pharyngeal arch endoderm;pharyngeal endoderm;pharyngeal region endoderm"
UBERON:0007691,gustatory pore,"porus gustatorius;taste pore"
UBERON:0007692,nucleus of thalamus,"nuclear complex of thalamus;thalamic nucleus"
UBERON:0007693,caroticotympanic artery,"arteriae caroticotympanicae;caroticotympanic branch;ramus caroticotympanicus"
UBERON:0007699,tract of spinal cord,"spinal cord tract"
UBERON:0007702,tract of brain,"brain tract;landmark tracts"
UBERON:0007703,spinothalamic tract,""
