run_accession,tissue_lib,cell_line,cell_type,tissue_type,Gtex
SRR13485942,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485943,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485945,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485947,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485949,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485958,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485967,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485969,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485971,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485974,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485925,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485927,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485928,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485931,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485932,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485935,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485939,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485944,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485946,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485948,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485951,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485952,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485953,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485955,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485959,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485962,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485963,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485965,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485976,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485977,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13142160,,,,Cerebellum,Brain - Cerebellum
SRR13142161,,,,Cerebellum,Brain - Cerebellum
SRR13142163,,,,Cerebellum,Brain - Cerebellum
SRR13142158,,,,Liver,Brain - Cerebellum
SRR13142162,,,,Cerebellum,Brain - Cerebellum
SRR13142164,,,,Cerebellum,Brain - Cerebellum
SRR13142165,,,,Cerebellum,Brain - Cerebellum
SRR1603662,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603664,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603665,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603666,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603667,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603668,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603671,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603661,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603663,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603669,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603670,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR1603672,,,,frozen postmortem brain from NICHD,Brain - Corpus Callosum
SRR16522641,,,,Cortex,Brain - Cortex
SRR16522644,,,,Cortex,Brain - Cortex
SRR16522666,,,,Cortex,Brain - Cortex
SRR16522668,,,,Cortex,Brain - Cortex
SRR16522669,,,,Cortex,Brain - Cortex
SRR16522670,,,,Cortex,Brain - Cortex
SRR16522642,,,,Cortex,Brain - Cortex
SRR16522646,,,,Cortex,Brain - Cortex
SRR16522665,,,,Cortex,Brain - Cortex
SRR16522667,,,,Cortex,Brain - Cortex
SRR16522643,,,,Cortex,Brain - Cortex
SRR16522645,,,,Cortex,Brain - Cortex
SRR3393494,,,,,Brain - Dorsal Striatum
SRR3393499,,,,,Brain - Dorsal Striatum
SRR3393501,,,,,Brain - Dorsal Striatum
SRR3393504,,,,,Brain - Dorsal Striatum
SRR3393508,,,,,Brain - Dorsal Striatum
SRR3393509,,,,,Brain - Dorsal Striatum
SRR3393512,,,,,Brain - Dorsal Striatum
SRR3393513,,,,,Brain - Dorsal Striatum
SRR3393514,,,,,Brain - Dorsal Striatum
SRR3393517,,,,,Brain - Dorsal Striatum
SRR3393521,,,,,Brain - Dorsal Striatum
