run_accession	first_public	study_title	project_name	study_accession	sample_accession	sample_title	sample_description	library_name	library_selection	library_source	library_strategy	library_construction_protocol	library_layout	rna_integrity_num	instrument_platform	rt_prep_protocol	cell_line	cell_type	tissue_lib	tissue_type	host_phenotype	isolate	age	host_body_site	sampling_site	base_count	description	sample_metadata_ncbi	study_metadata_ncbi
SRR12743486	2020-10-03	Long non-coding RNAs ENST00000429730.1 and MSTRG.93125.4 associate with metabolic activity in tuberculosis lesions of sputum-negative tuberculosis patients	Long non-coding RNAs ENST00000429730.1 and MSTRG.93125.4 associate with metabolic activity in tuberculosis lesions of sputum-negative tuberculosis patients	PRJNA666441	SAMN16293836	lung tissue L4	lung tissue L4		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA of each lung sample was extracted by using TRIzol Reagent (Invitrogen, US) and further purified using the RNeasy Mini Kit (Qiagen, Germany) according to the manufacturer's instructions. Total RNA of each sample was quantified and qualified by Agilent 2100 Bioanalyzer (Agilent Technologies, USA), NanoDrop (Thermo Fisher Scientific Inc., USA) and 1% agarose gel. Total RNA (1 μg) with the value of RNA integrity number (RIN) > 7 was used for library preparation of the following next generation sequencing, with the NEBNext Ultra II Directional RNA Library Prep. Kit for Illumina. The rRNA was depleted from total RNA using Ribo-Zero™ rRNA removal Kit (Illumina, USA), and cDNA libraries were generated following manufacture's protocols. Then, libraries with different indices were multiplexed and loaded on Illumina HiSeq instrument (Illumina, USA) for 2 × 150 paired-end sequencing according to manufacturer's instructions.	PAIRED		ILLUMINA											14025568200	Illumina NovaSeq 6000 sequencing: GSM4810287: lung tissue L4 Homo sapiens RNA-Seq	SRS7449876SAMN16293836GSM4810287lung tissue L49606Homo sapiensbioproject666441PRJNA666441source_namelungmetabolic activitylow metabolic activitygenderfemaleage28clinical diagnosisSecondary pulmonary tuberculosis with multi-drug resistance	SRP285819PRJNA666441GSE158767Long non-coding RNAs ENST00000429730.1 and MSTRG.93125.4 associate with metabolic activity in tuberculosis lesions of sputum-negative tuberculosis patientsPurpose: Accurate diagnosis of complete inactivation of tuberculosis lesions is still a challenge with respect to sputum-negative tuberculosis. RNA-sequencing was conducted to uncover potential lncRNA indicators of metabolic activity in tuberculosis lesions. Methods: Lung tissues with high metabolic activity (PET-high) and low metabolic activity (PET-low) demonstrated by fluorine-18-fluorodeoxyglucose positron emission tomography/computed tomography (FDG-PET/CT) were collected from five sputum-negative tuberculosis patients for RNA-sequencing. Differentially expressed mRNAs and lncRNAs were identified, and their correlations were evaluated to constructed lncRNA-mRNA co-expression network. Afterwards, cis- or trans-targets of differentially expressed lncRNAs were predicted, followed by establishing lncRNA-target-pathway network, in which lncRNAs and mRNAs with high degrees were measured by quantitative real-time PCR using samples collected from 11 patients. Prediction efficiencies of lncRNA indicators were assessed by receiver operating characteristic curve analysis, Bioinformatics analysis was performed for potential lncRNAs. Results: In total, 386 mRNAs and 44 lncRNAs were identified to be differentially expressed. Differentially expressed mRNAs in lncRNA-mRNA co-expression network were significantly associated with the fibrillar collagen, platelet-derived growth factor binding, and leukocyte migration involved in inflammatory response. One cis-target gene and 440 trans-target genes were predicted for differentially expressed lncRNAs. Seven genes (C1QB, CD68, CCL5, CCL19, MMP7, HLA-DMB, and CYBB) and two lncRNAs (ENST00000429730.1 and MSTRG.93125.4) were validated to be significantly up-regulated. The area under the curve of ENST00000429730.1 and MSTRG.93125.4 was 0.750 and 0.813, respectively. Conclusion: Two lncRNAs ENST00000429730.1 and MSTRG.93125.4 might be considered as potential indicators of metabolic activity in tuberculosis lesions for sputum-negative tuberculosis. Overall design: Examination of  different Inc-mRNA expressions in 5 lung tissues.GSE158767
SRR7094284	2019-02-09	Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy	Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy	PRJNA454694	SAMN09011915	Sample_28 [RNA-seq]	Sample_28 [RNA-seq]		cDNA	TRANSCRIPTOMIC	RNA-Seq	RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.	PAIRED		ILLUMINA											8653806305	Illumina HiSeq 2500 sequencing: GSM3124805: Sample_28 [RNA-seq] Homo sapiens RNA-Seq	SRS3243365SAMN09011915GSM3124805Sample_28 [RNA-seq]9606Homo sapiensbioproject454694PRJNA454694source_nameMaternal Bloodindividualmi424groupTNL [Term not in labor (without labor)]	SRP144363PRJNA454694GSE113964Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancyMaternal plasama colected longitudinally were profiled using paired-end Illumina RNA-Seq with globin reduction to evaluate changes with gestational age and with labor in normal pregnancy. Overall design: The study included normal pregnancies with (n=8) and without (n=8) spontaneous labor at term.  Half of the women in each group had 3 longitudinal samples taken from 12.1-40.3 weeks of gestation, while the other half of women had only one sample taken at term before delivery, for a total of 32 samples.GSE113964pubmed30696862pubmed34195686parent_bioprojectPRJNA454690
SRR15013601	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988435	SJLB411	SJLB411		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						5916210048	Illumina HiSeq 2000 sequencing: GSM5412236: SJLB411 Homo sapiens RNA-Seq	SRS9359568SAMN19988435GSM5412236SJLB4119606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexmaleage30	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR22302323	2023-01-13	Human IRF1 governs phagocytic IFN-gamma immunity to mycobacteria	Human IRF1 governs phagocytic IFN-gamma immunity to mycobacteria	PRJNA901963	SAMN31742942	Fibroblast non-stimulated 11980	Fibroblast non-stimulated 11980	GSM6733099	cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from cells with the Quick-RNA MicroPrep kit (#R1051, Zymo Research), and treated with DNAse (Zymo) to remove residual genomic DNA. Ribosomal RNA (rRNA) and mitochondrial RNA (mRNA) were depleted. RNA-seq libraries were prepared with the Illumina RiboZero TruSeq Stranded Total RNA Library Prep Kit (Illumina) Libraries were sequenced using NovaSeq in the 100 or 150-nt, paired-end configuration	PAIRED		ILLUMINA			primary fibroblast								9378755768	Illumina NovaSeq 6000 sequencing: GSM6733099: Fibroblast non-stimulated 11980 Homo sapiens RNA-Seq	SRS15768465SAMN31742942GSM6733099Fibroblast non-stimulated 119809606Homo sapiensbioproject901963PRJNA901963source_nameprimary fibroblastcell typeprimary fibroblastgenotypeIRF1-/- P1treatmentNon-stimulated	SRP408102PRJNA901963GSE218033Human IRF1 governs phagocytic IFN-gamma immunity to mycobacteriaInborn errors of human IFN-? immunity underlie mycobacterial diseases, whereas inborn errors of IFN-?/? immunity underlie viral diseases. Both types of IFNs induce the transcription factor IRF1. We describe two unrelated children with inherited complete IRF1 deficiency and early-onset, multiple, life-threatening diseases caused by weakly virulent mycobacteria. These children have no history of severe viral disease, despite exposure to many viruses, including SARS-CoV-2, which is life-threatening in individuals with impaired IFN-?/? immunity. The IRF1-dependent cellular responses to IFN-? are, both quantitatively and qualitatively, much greater than those to IFN-?/? in vitro. Monocyte- and iPSC-derived macrophages from the two patients show no upregulation of at least 20% of the target genes normally induced by IFN-?. By contrast, cell-intrinsic IFN-?/? immunity to diverse viruses, including SARS-CoV-2, is intact. Human IRF1 is, thus, largely redundant for antiviral IFN-?/? immunity. By contrast, human IRF1 is essential for IFN-? immunity to mycobacteria in myeloid cells. Overall design: Primary fibroblasts, M-CSF-iPSC-derived macrophages, and M-CSF-IL-4-monocytes-derived macrophages were stimulated or not 30 minutes, 2 hours, or 8 hours with 1000 IU/mL of IFN-alpha or IFN-gammaGSE218033pubmed36736301
SRR26974282	2023-12-15	Idiopathic inflammatory myopathy model sequencing		PRJNA1046163	SAMN38477163	Human sample from Homo sapiens	Human sample from Homo sapiens	Ctrl_3	Inverse rRNA	TRANSCRIPTOMIC	RNA-Seq		PAIRED		ILLUMINA					muscle		Ctrl_3				7105684800	Illumina NovaSeq 6000 sequencing: RNA-Seq of muscle: healthy control sample	SRS19663349SAMN38477163Ctrl_39606Homo sapiensbioproject1046163PRJNA1046163isolateCtrl_3agenot collectedbiomaterial_providernot collectedcollection_datenot collectedgeo_loc_namenot collectedsexnot collectedtissuemuscleBioSampleModelHuman	SRP474692PRJNA1046163Idiopathic inflammatory myopathy model sequencing3D muscle tissue model was construct by human myoblasts, combined with immune cells to induce an idiopathic myositis model. And different induction conditions and healthy muscle tissue were sequenced.
SRR14027924	2023-02-27	Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients	Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients	PRJNA716181	SAMN18397086	RNA_P11PN	RNA_P11PN		cDNA	TRANSCRIPTOMIC	RNA-Seq	Samples were treated with 1mL TRIzol reagent according to manufacturer's instructions. Nanodrop ND-1000 was used for RNA density/purity detection. Agilent BioAnalyzer 2100 was used for RNA quality control. rRNA depletion was conducted before RNA-seq library preparation using TruSeq Stranded Total RNA Library Prep Kit. The libraries were constructed using TruSeq Stranded Total RNA with Ribo-Zero Gold according to the manufacturer's instructions.	PAIRED		ILLUMINA					Adjacent tissue						18716490300	Illumina HiSeq 2500 sequencing: GSM5194566: RNA_P11PN Homo sapiens RNA-Seq	SRS8527007SAMN18397086GSM5194566RNA_P11PN9606Homo sapiensbioproject716181PRJNA716181source_nameAdjacent tissuetissueAdjacent tissue	SRP311582PRJNA716181GSE169289Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patientsHepatocellular carcinoma is a poor prognosis cancer leading to death, with high rate of recurrence after curative therapy. The functions of Covalently closed circular RNA (circRNAs) in HCC recurrence have remained largely unknown. In this study, we generated multi-omics data to explore the circRNAs involving in the HCC recurrence. Overall design: Transcriptome RNA sequencing data of tumors and paired adjacent tissues from HCC patientsGSE169289pubmed36797228parent_bioprojectPRJNA716508
SRR15013573	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988403	SJLB357	SJLB357		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						7914144000	Illumina HiSeq 2000 sequencing: GSM5412208: SJLB357 Homo sapiens RNA-Seq	SRS9359540SAMN19988403GSM5412208SJLB3579606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexmaleage62	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR24709859	2023-09-08	Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donors	Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donors	PRJNA975585	SAMN35340240	S037,Basilic vein,Healthy,NA	S037,Basilic vein,Healthy,NA	GSM7418754	cDNA	TRANSCRIPTOMIC	RNA-Seq	RNAlater-preserved samples were ground in liquid nitrogen and isolated with Trizol (Thermo Fisher Scientific) followed by column purification (EZNA Total RNA Kit I, Omega Bio-tek). 500 ng of total RNA was used as input for the Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero to generate ribosomal RNA-depleted sequencing libraries. Each sample had a unique barcode to allow multiplexing, and was sequenced to >40 million raw reads in a single end 75 bp sequencing run on the Illumina NextSeq500.	SINGLE		ILLUMINA					Basilic vein						4417938520	NextSeq 500 sequencing: GSM7418754: S037,Basilic vein,Healthy,NA Homo sapiens RNA-Seq	SRS17799250SAMN35340240GSM7418754S037,Basilic vein,Healthy,NA9606Homo sapiensbioproject975585PRJNA975585source_nameBasilic veintissueBasilic veindisease statusHealthyavf outcomeNAgeo_loc_namemissingcollection_datemissing	SRP439183PRJNA975585GSE233264Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donorsWe report the RNA expression profiles of native veins used for AVF creation and of non-kidney disease veins obtained from organ donors. Overall design: This study was designed to evaluate vascular changes in gene expression associated with chronic kidney disease. Additional ESKD patients are found in GSE119296 and GSE220796.GSE233264pubmed37296603pubmed38786017
SRR5259631	2018-02-17	Chemoprevention with COX2 and EGFR inhibition in FAP patients: mRNA signatures of duodenal neoplasia	Homo sapiens	PRJNA374861	SAMN06339127	Base_Pt4	Base_Pt4		cDNA	TRANSCRIPTOMIC	RNA-Seq	Qiagen RNAeasy Mini kit Illumina TruSeq Stranded Total RNA treated with Ribozero Gold, 50 cycle single end reads	SINGLE		ILLUMINA					Uninvolved						1834838350	Illumina HiSeq 2500 sequencing: GSM2491879: Base_Pt4 Homo sapiens RNA-Seq	SRS1981020SAMN06339127GSM2491879Base_Pt49606Homo sapiensbioproject374861PRJNA374861source_nameDuodenumpatient cohortFamilial adenomatous polyposistissueUninvolvedtimepointBaselinetreatmentNonepatient numberPt-4	SRP099844PRJNA374861GSE94919Chemoprevention with COX2 and EGFR inhibition in FAP patients: mRNA signatures of duodenal neoplasiaRNA sequencing of duodenal polyps in FAP patients treated with plabebo or the drug combination, erlotinib + sulindac Overall design: 69 duodenal RNA sequencing datasets (17 baseline uninvolved from 17 FAP patients, 10 endpoint uninvolved and 16 polyp from 10 FAP patients on placebo, 10 endpont uninvolved and 16 polyp from 10 FAP patients on drug)GSE94919pubmed29109117
SRR6937784	2018-06-26	Time series integrative analysis of RNA-Seq and miRNA expression data reveals key biologic pathways during keloid formation		PRJNA448679	SAMN08863005	K6-1st	Keloid data set RNA-Seq	544	Inverse rRNA	TRANSCRIPTOMIC	RNA-Seq		PAIRED		ILLUMINA					skin		K6				6613485900	Illumina HiSeq 3000 sequencing: RNA Seq of Keloid skin	SRS3121862SAMN08863005K6-1st_S021_R1_.fastq.gzK6-1st9606Homo sapiensKeloid data set RNA-Seqbioproject448679PRJNA448679isolateK6age30biomaterial_providerJohn McGrath, St John''s Institute of DermatologysexmaletissueskindiseasePhenotype KeloidphenotypePhenotype KeloidtreatmentDay 0sequencing_batchS021uniqueid544BioSampleModelHuman	SRP137071PRJNA448679Time series integrative analysis of RNA-Seq and miRNA expression data reveals key biologic pathways during keloid formationKeloids represent a common form of exaggerated wound scarring that cause considerable morbidity. Moreover, there are limited data on molecular mechanisms underlying keloids and effective therapies are lacking. To gain new insight in the transcriptomic alterations of wound healing in keloid-prone individuals, we followed an integrative approach of RNA-Seq and miRNA expression data analysis in serial skin biopsies of the same site (baseline and six weeks after wounding) in keloid-prone (n=8) and healthy matched control individuals (n=6). Bioinformatic analysis identified 37 miRNAs and 1449 genes that are differentially expressed specifically in keloid-prone individuals during wound healing. Pathway enrichment analysis was undertaken in the RNA-Seq data and identified NOTCH signaling, MAPK signaling, and Toll-like receptor pathways to be altered in keloid-prone individuals after wounding. In addition, dysregulation of DNA repair, p53 signalling and metabolic pathways (RNA, protein, fructose, mannose and glycerophospholipid metabolism) was highlighted during keloid formation. Gene association network analysis demonstrated divergent average expression profiles of cytokine signaling genes, as well as lipid metabolism genes between keloid-prone and healthy individuals during wound healing. In summary, our study provides a comprehensive and integrative analysis of the keloid transcriptome and miRNAome and highlights biological pathways that feature during keloid formation.
SRR15013488	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988456	SJLB796	SJLB796		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						1551467616	Illumina HiSeq 2000 sequencing: GSM5412339: SJLB796 Homo sapiens RNA-Seq	SRS9359675SAMN19988456GSM5412339SJLB7969606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexmaleage57	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR19666460	2022-08-19	The novel circle-RNA ZNF208 regulates the proliferation of cervical cancer fibroblasts through a ceRNA network	The novel circle-RNA ZNF208 regulates the proliferation of cervical cancer fibroblasts through a ceRNA network	PRJNA849660	SAMN29126916	CP_273233	CP_273233	GSM6246340	cDNA	TRANSCRIPTOMIC	RNA-Seq	After the samples are qualified, the total RNA library preparation and library inspection are carried out according to the following experimental steps: (1) rRNA removal: Ribo-zero kit was used to remove rRNA, followed by high temperature and metal ions. (2) Synthesis and purification of cDNA: using RNA as a template, a six-base random primer is used to synthesize a strand of cDNA,Then add buffer, dNTPs, and enzyme to synthesize double-stranded cDNA, and then use VAHTSTM DNA Clean Beads Purification of double-stranded cDNA (3) Fragment screening: the purified double-stranded cDNA is first subjected to end repair, A-tail, and sequencing ligation head, followed by fragment screening with VAHTSTM DNA Clean Beads (4) PCR enrichment: UDG enzyme degrades the second strand of cDNA containing U, and performs PCR enrichment, Finally, use VAHTSTM DNA Clean eads to purify the PCR product (5) Library inspection: use Qubit to accurately quantify the library concentration, and Agilent 2100 Bioanalyzer to determine Library fragment size distribution to assess suitability for onboarding. Ribo-zero kit for rRNA removal One-stranded cDNA was synthesized using RNA as a template and six-base random primers The second-stranded cDNA was synthesised by adding buffer, dNTPs and enzymes, followed by purification of the double-stranded cDNA using VAHTSTM DNA Clean Beads. purification of double-stranded cDNA Accurate quantification of library concentrations with Qubit, determination of library fragment size distribution with Agilent 2100 Bioanalyzer	PAIRED		ILLUMINA					paracancerous tissue;Cervical						21613468800	Illumina HiSeq 4000 sequencing: GSM6246340: CP_273233 Homo sapiens RNA-Seq	SRS13409543SAMN29126916GSM6246340CP_2732339606Homo sapiensbioproject849660PRJNA849660source_nameCervicaltissueCervicaltissue typeparacancerous tissuemolecule subtypecircRNA	SRP381956PRJNA849660GSE206224The novel circle-RNA ZNF208 regulates the proliferation of cervical cancer fibroblasts through a ceRNA networkCervical cancer is one of the major cancers that threaten the health of women. CircRNA is an important factor in the regulation of cancer development and progression. The role of circRNA in cervical cancer is less well studied. The aim of this study was to explore the mechanism of circRNA effects on cervical cancer using circRNA-seq technology to study the expression profile data of 9 pairs of primary cervical cancer and paracancerous tissues. Overall design: The clinical samples were added into TRizol reagent (Life Technologies) and the total RNA was extracted using the total RNA extraction kit (Tiangen, China) from each sample per the manufacturer's instructions.Then, whole transcriptome libraries were constructed using the TruSeq Ribo Profile Library Prep Kit (Illumina, United States) per the manufacturer's protocol. Briefly, 10 mg of total RNA was depleted of rRNA with an Illumina RiboZero Gold kit and purified for end repair and 5'-adaptor ligations. Next, reverse transcription was performed with random primers containing 3' adaptor sequences and randomized hexamers.   Finally, cDNA fragments of 250–400 bp were purified and amplified by 15–20 cycles of PCR. The libraries were subjected to 150 nt paired-end sequencing with an Illumina Hiseq4000 system (BGI, China). At least 45 million read pairs were generated for each library, and adapters were removed with VAHTSTM DNA Clean reads to obtain clean reads.GSE206224
SRR22302252	2023-01-13	Human IRF1 governs phagocytic IFN-gamma immunity to mycobacteria	Human IRF1 governs phagocytic IFN-gamma immunity to mycobacteria	PRJNA901963	SAMN31742871	MDM non-stimulated HC1	MDM non-stimulated HC1	GSM6733170	cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from cells with the Quick-RNA MicroPrep kit (#R1051, Zymo Research), and treated with DNAse (Zymo) to remove residual genomic DNA. Ribosomal RNA (rRNA) and mitochondrial RNA (mRNA) were depleted. RNA-seq libraries were prepared with the Illumina RiboZero TruSeq Stranded Total RNA Library Prep Kit (Illumina) Libraries were sequenced using NovaSeq in the 100 or 150-nt, paired-end configuration	PAIRED		ILLUMINA			Monocyte-derived macrophages								15310619896	Illumina NovaSeq 6000 sequencing: GSM6733170: MDM non-stimulated HC1 Homo sapiens RNA-Seq	SRS15768536SAMN31742871GSM6733170MDM non-stimulated HC19606Homo sapiensbioproject901963PRJNA901963source_nameMonocyte-derived macrophagescell typeMonocyte-derived macrophagesgenotypeWT/WTtreatmentNon-stimulated	SRP408102PRJNA901963GSE218033Human IRF1 governs phagocytic IFN-gamma immunity to mycobacteriaInborn errors of human IFN-? immunity underlie mycobacterial diseases, whereas inborn errors of IFN-?/? immunity underlie viral diseases. Both types of IFNs induce the transcription factor IRF1. We describe two unrelated children with inherited complete IRF1 deficiency and early-onset, multiple, life-threatening diseases caused by weakly virulent mycobacteria. These children have no history of severe viral disease, despite exposure to many viruses, including SARS-CoV-2, which is life-threatening in individuals with impaired IFN-?/? immunity. The IRF1-dependent cellular responses to IFN-? are, both quantitatively and qualitatively, much greater than those to IFN-?/? in vitro. Monocyte- and iPSC-derived macrophages from the two patients show no upregulation of at least 20% of the target genes normally induced by IFN-?. By contrast, cell-intrinsic IFN-?/? immunity to diverse viruses, including SARS-CoV-2, is intact. Human IRF1 is, thus, largely redundant for antiviral IFN-?/? immunity. By contrast, human IRF1 is essential for IFN-? immunity to mycobacteria in myeloid cells. Overall design: Primary fibroblasts, M-CSF-iPSC-derived macrophages, and M-CSF-IL-4-monocytes-derived macrophages were stimulated or not 30 minutes, 2 hours, or 8 hours with 1000 IU/mL of IFN-alpha or IFN-gammaGSE218033pubmed36736301
